Plan,Name,Min,Max,Cost,Annual,Send,PPS,
"$6,881",High Volume,"640,001","645,000","$6,881","$68,810","7,740,000",$0.0098,
"$6,930",High Volume,"645,001","650,000","$6,930","$69,300","7,800,000",$0.0098,
"$6,979",High Volume,"650,001","655,000","$6,979","$69,790","7,860,000",$0.0098,
"$7,028",High Volume,"655,001","660,000","$7,028","$70,280","7,920,000",$0.0098,
"$7,077",High Volume,"660,001","665,000","$7,077","$70,770","7,980,000",$0.0098,
"$7,126",High Volume,"665,001","670,000","$7,126","$71,260","8,040,000",$0.0098,
"$7,175",High Volume,"670,001","675,000","$7,175","$71,750","8,100,000",$0.0098,
"$7,224",High Volume,"675,001","680,000","$7,224","$72,240","8,160,000",$0.0098,
"$7,273",High Volume,"680,001","685,000","$7,273","$72,730","8,220,000",$0.0098,
"$7,322",High Volume,"685,001","690,000","$7,322","$73,220","8,280,000",$0.0098,
"$7,371",High Volume,"690,001","695,000","$7,371","$73,710","8,340,000",$0.0098,
"$7,420",High Volume,"695,001","700,000","$7,420","$74,200","8,400,000",$0.0098,
"$7,469",High Volume,"700,001","705,000","$7,469","$74,690","8,460,000",$0.0098,
"$7,518",High Volume,"705,001","710,000","$7,518","$75,180","8,520,000",$0.0098,
"$7,567",High Volume,"710,001","715,000","$7,567","$75,670","8,580,000",$0.0098,
"$7,616",High Volume,"715,001","720,000","$7,616","$76,160","8,640,000",$0.0098,
"$7,665",High Volume,"720,001","725,000","$7,665","$76,650","8,700,000",$0.0098,
"$7,714",High Volume,"725,001","730,000","$7,714","$77,140","8,760,000",$0.0098,
"$7,763",High Volume,"730,001","735,000","$7,763","$77,630","8,820,000",$0.0098,
"$7,812",High Volume,"735,001","740,000","$7,812","$78,120","8,880,000",$0.0098,
"$7,861",High Volume,"740,001","745,000","$7,861","$78,610","8,940,000",$0.0098,
"$7,910",High Volume,"745,001","750,000","$7,910","$79,100","9,000,000",$0.0098,
"$7,959",High Volume,"750,001","755,000","$7,959","$79,590","9,060,000",$0.0098,
"$8,008",High Volume,"755,001","760,000","$8,008","$80,080","9,120,000",$0.0098,
"$8,057",High Volume,"760,001","765,000","$8,057","$80,570","9,180,000",$0.0098,
"$8,106",High Volume,"765,001","770,000","$8,106","$81,060","9,240,000",$0.0098,
"$8,155",High Volume,"770,001","775,000","$8,155","$81,550","9,300,000",$0.0098,
"$8,204",High Volume,"775,001","780,000","$8,204","$82,040","9,360,000",$0.0098,
"$8,253",High Volume,"780,001","785,000","$8,253","$82,530","9,420,000",$0.0098,
"$8,302",High Volume,"785,001","790,000","$8,302","$83,020","9,480,000",$0.0098,
"$8,351",High Volume,"790,001","795,000","$8,351","$83,510","9,540,000",$0.0098,
"$8,400",High Volume,"795,001","800,000","$8,400","$84,000","9,600,000",$0.0098,
"$8,449",High Volume,"800,001","805,000","$8,449","$84,490","9,660,000",$0.0098,
"$8,498",High Volume,"805,001","810,000","$8,498","$84,980","9,720,000",$0.0098,
"$8,547",High Volume,"810,001","815,000","$8,547","$85,470","9,780,000",$0.0098,
"$8,596",High Volume,"815,001","820,000","$8,596","$85,960","9,840,000",$0.0098,
"$8,645",High Volume,"820,001","825,000","$8,645","$86,450","9,900,000",$0.0098,
"$8,694",High Volume,"825,001","830,000","$8,694","$86,940","9,960,000",$0.0098,
"$8,743",High Volume,"830,001","835,000","$8,743","$87,430","10,020,000",$0.0098,
"$8,792",High Volume,"835,001","840,000","$8,792","$87,920","10,080,000",$0.0098,
"$8,841",High Volume,"840,001","845,000","$8,841","$88,410","10,140,000",$0.0098,
"$8,890",High Volume,"845,001","850,000","$8,890","$88,900","10,200,000",$0.0098,
"$8,939",High Volume,"850,001","855,000","$8,939","$89,390","10,260,000",$0.0098,
"$8,988",High Volume,"855,001","860,000","$8,988","$89,880","10,320,000",$0.0098,
"$9,037",High Volume,"860,001","865,000","$9,037","$90,370","10,380,000",$0.0098,
"$9,086",High Volume,"865,001","870,000","$9,086","$90,860","10,440,000",$0.0098,
"$9,135",High Volume,"870,001","875,000","$9,135","$91,350","10,500,000",$0.0098,
"$9,184",High Volume,"875,001","880,000","$9,184","$91,840","10,560,000",$0.0098,
"$9,233",High Volume,"880,001","885,000","$9,233","$92,330","10,620,000",$0.0098,
"$9,282",High Volume,"885,001","890,000","$9,282","$92,820","10,680,000",$0.0098,
"$9,331",High Volume,"890,001","895,000","$9,331","$93,310","10,740,000",$0.0098,
"$9,380",High Volume,"895,001","900,000","$9,380","$93,800","10,800,000",$0.0098,
"$9,429",High Volume,"900,001","905,000","$9,429","$94,290","10,860,000",$0.0098,
"$9,478",High Volume,"905,001","910,000","$9,478","$94,780","10,920,000",$0.0098,
"$9,527",High Volume,"910,001","915,000","$9,527","$95,270","10,980,000",$0.0098,
"$9,576",High Volume,"915,001","920,000","$9,576","$95,760","11,040,000",$0.0098,
"$9,625",High Volume,"920,001","925,000","$9,625","$96,250","11,100,000",$0.0098,
"$9,674",High Volume,"925,001","930,000","$9,674","$96,740","11,160,000",$0.0098,
"$9,723",High Volume,"930,001","935,000","$9,723","$97,230","11,220,000",$0.0098,
"$9,772",High Volume,"935,001","940,000","$9,772","$97,720","11,280,000",$0.0098,
"$9,821",High Volume,"940,001","945,000","$9,821","$98,210","11,340,000",$0.0098,
"$9,870",High Volume,"945,001","950,000","$9,870","$98,700","11,400,000",$0.0098,
"$9,919",High Volume,"950,001","955,000","$9,919","$99,190","11,460,000",$0.0098,
"$9,968",High Volume,"955,001","960,000","$9,968","$99,680","11,520,000",$0.0098,
"$10,017",High Volume,"960,001","965,000","$10,017","$100,170","11,580,000",$0.0098,
"$10,066",High Volume,"965,001","970,000","$10,066","$100,660","11,640,000",$0.0098,
"$10,115",High Volume,"970,001","975,000","$10,115","$101,150","11,700,000",$0.0098,
"$10,164",High Volume,"975,001","980,000","$10,164","$101,640","11,760,000",$0.0098,
"$10,213",High Volume,"980,001","985,000","$10,213","$102,130","11,820,000",$0.0098,
"$10,262",High Volume,"985,001","990,000","$10,262","$102,620","11,880,000",$0.0098,
"$10,311",High Volume,"990,001","995,000","$10,311","$103,110","11,940,000",$0.0098,
"$10,360",High Volume,"995,001","1,000,000","$10,360","$103,600","12,000,000",$0.0098,
"$10,409",High Volume,"1,000,001","1,005,000","$10,409","$104,090","12,060,000",$0.0098,
"$10,458",High Volume,"1,005,001","1,010,000","$10,458","$104,580","12,120,000",$0.0098,
"$10,507",High Volume,"1,010,001","1,015,000","$10,507","$105,070","12,180,000",$0.0098,
